stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
1_01,(降車専用),青森駅 (降車専用),,40.8280809999999,140.734870428571,1_01,,0,,
1_02,②のりば,青森駅 ②のりば,,40.8281309999999,140.734587285714,1_02,,0,2,
1_03,③のりば,青森駅 ③のりば,,40.8280269999999,140.734522857143,1_03,,0,3,
1_04,④のりば,青森駅 ④のりば,,40.8279239999999,140.734467714286,1_04,,0,4,
1_06,⑥のりば,青森駅 ⑥のりば,,40.82825,140.73485,1_06,,0,6,
2_02,,古川一丁目,,40.826467,140.736044,2_02,,0,,
3_01,①のりば,古川 ①のりば,,40.824242,140.735627,3_01,,0,1,
3_02,②のりば,古川 ②のりば,,40.824189,140.736048,3_02,,0,2,
3_03,③のりば,古川 ③のりば,,40.824031,140.737057,3_03,,0,3,
3_04,④のりば,古川 ④のりば,,40.823974,140.737457,3_04,,0,4,
3_05,⑤のりば,古川 ⑤のりば,,40.823873,140.738243,3_05,,0,5,
3_06,⑥のりば,古川 ⑥のりば,,40.82447,140.73581,3_06,,0,6,
3_08,⑧のりば,古川 ⑧のりば,,40.824198,140.7376,3_08,,0,8,
3_09,⑨のりば,古川 ⑨のりば,,40.823645,140.736386,3_09,,0,9,
4_01,,県庁前,,40.823389,140.741593,4_01,,0,,
4_02,,県庁前,,40.82387,140.74,4_02,,0,,
5_01,,市役所前,,40.823004,140.746975,5_01,,0,,
5_02,,市役所前,,40.823217,140.74685,5_02,,0,,
6_01,,ＮＴＴ青森支店前,,40.823318,140.751155,6_01,,0,,
6_02,,ＮＴＴ青森支店前,,40.823576,140.751426,6_02,,0,,
6_03,,ＮＴＴ青森支店前,,40.822646,140.75019,6_03,,0,,
6_04,,ＮＴＴ青森支店前,,40.822413,140.750461,6_04,,0,,
6_05,,ＮＴＴ青森支店前,,40.82454,140.750268,6_05,,0,,
7_01,,文化会館前,,40.823635,140.755404,7_01,,0,,
7_02,,文化会館前,,40.823917,140.755509,7_02,,0,,
7_03,,文化会館前,,40.82289,140.754624,7_03,,0,,
7_04,,文化会館前,,40.823232,140.754827,7_04,,0,,
8_01,,堤橋,,40.82404,140.760452,8_01,,0,,
8_02,,堤橋,,40.824326,140.760856,8_02,,0,,
8_03,,堤橋,,40.823522,140.761816,8_03,,0,,
8_04,,堤橋,,40.823634,140.761642,8_04,,0,,
9_01,,栄町一丁目,,40.824509,140.764496,9_01,,0,,
9_02,,栄町一丁目,,40.824854,140.765597,9_02,,0,,
10_01,,栄町二丁目,,40.825114,140.769955,10_01,,0,,
10_02,,栄町二丁目,,40.825339,140.769864,10_02,,0,,
10_03,,栄町二丁目,,40.824679,140.76903,10_03,,0,,
10_04,,栄町二丁目,,40.824774,140.768799,10_04,,0,,
11_01,,合浦町,,40.826042,140.775716,11_01,,0,,
11_02,,合浦町,,40.826014,140.774116,11_02,,0,,
12_01,,合浦公園前,,40.826629,140.778399,12_01,,0,,
